question,answer_llm,answer_orig,document
How do I join the Office Hours or live workshop if I don’t have the Zoom link?,"Students don’t use the Zoom link directly. For Office Hours or live/workshop sessions:

- Join via **YouTube Live** on the **DataTalksClub YouTube channel**
- Submit questions in **Slido** (the link is pinned in chat when live)
- Check the **announcements channel on Telegram and Slack** for the video URL before the session starts

The Zoom link itself is only published to instructors/presenters/TAs.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where can I watch the live sessions for the course, and how do I ask questions during them?","You can watch the live sessions on the DataTalksClub YouTube channel, and the video link is also posted in the announcements channel on Telegram and Slack before the session starts.

To ask questions during the live sessions:
- Use Slido — the link is pinned in the live chat.
- Don’t post questions in the chat, since they may be missed.
- If you’re stuck outside the live session, ask in Slack and follow the asking questions guidelines.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is the Zoom link for the workshop shared with students, or only with the teaching team?","The Zoom link is only published to the instructors/presenters/TAs, not to students.

Students join via YouTube Live, with the link posted in the announcements channel on Telegram and Slack before the session starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way to follow the live Office Hours stream if I’m a student?,"If you’re a student, the best way is to watch the stream on the DataTalksClub YouTube channel and follow the link posted in the announcements channel on Telegram or Slack before it starts. When the session is live, submit questions through Slido, not in chat.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Should I type my questions in the live chat during Office Hours, or use something else?",No — don’t post questions in the live chat. Use Slido instead; the Slido link is pinned in the chat when the session is live.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How do I find my row on the leaderboard if I can’t see my name right away?,"Click the **“Jump to your record on the leaderboard”** link — it will take you directly to your row, even if your name isn’t visible right away.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Why does the leaderboard show some random nickname instead of my real name?,"The leaderboard uses your separate **display name**, not the real name you enter for the certificate.

By default, that display name is a **random nickname** like “Lucid Elbakyan,” so your real name won’t appear publicly. You can change it in **Edit Course Profile**:

- **First field:** public nickname for the leaderboard
- **Second field:** official name for your certificate

So if you’re seeing a random nickname, that’s normal and it’s there to keep your real name private.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what display name I’m using for the course?,Click **“Edit Course Profile”**. The **first field** is your **display name / nickname** used on the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I change the name that appears publicly, like to my Slack or GitHub name?","Yes. You can change the public name in **Edit Course Profile** — the **first field** is your public nickname/display name, and you can set it to your Slack username, GitHub username, or any nickname you want.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What should I put in the profile fields so my certificate doesn’t use the default random name?,"Put:

- **First field:** your **display/nickname** for the leaderboard
- **Second field:** your **official name** exactly as you want it printed on the certificate

If you leave the second field as the random default, your certificate will use that random name instead.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I do the course at my own pace and still get a certificate at the end?,"No. You can work through the material in self-paced mode, but you only get a certificate if you finish with a live cohort and submit the capstone project plus the required peer reviews while submissions are still being accepted.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
"If I take the self-paced version, is there any way to earn the course certificate?","No. You can only earn the course certificate if you finish the course with a live cohort. You may still work through the material and prepare your project in self-paced mode, but the project submission and required peer reviews must happen while a live cohort is accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Do certificates only count for people who finish with the live cohort?,"No. Certificates are only available if you finish the course with a live cohort. You can study in self-paced mode, but to get the certificate you must submit the capstone project and complete the required peer reviews while a live cohort is accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Why doesn’t the self-paced mode come with a certificate?,"You can only get a certificate if you finish the course with a live cohort. In self-paced mode, you can still work through the material and prepare your capstone project, but the certificate requires submitting the project and completing the required peer reviews while a live cohort is accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Is peer-review of the capstone project required in order to receive the certificate?,"Yes. To receive the certificate, you need to finish a capstone project and complete the required peer reviews.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Can I still get the certificate if I skipped the first homework?,"Yes. Homework is not mandatory, so skipping the first homework won’t prevent you from getting the certificate. You just need to pass the Capstone project and complete the required peer reviews while a live cohort is accepting them.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Do I have to do all the homework to receive the certificate for this course?,"No. Homework is not required to get the certificate.

To receive the certificate, you need to:
- finish the capstone project, and
- complete the required peer reviews,

while the course is running with a live cohort.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I actually need to pass in order to get the certificate?,"You need to **finish a capstone project** and **complete the required peer reviews** to get the certificate. Homework is **not required**. Also, you can only get the certificate if you finish the course with a **live cohort**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is homework mandatory, or is it just optional practice for the course?","Homework is **not mandatory**. It’s recommended for practice and the points count toward the leaderboard, but you can still get a certificate by passing the **capstone project**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework isn't required, does it still affect anything like my ranking or points?","Yes. Homework isn’t required for the certificate, but its points do count toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing in this course?,"Because the homework may still be in draft form. If the homework title contains `[DRAFT]`, it means it’s not ready yet, and the content can still change until:

- the homework form is open on the course management platform, and
- the title no longer contains `[DRAFT]`.

Working on it early is at your own risk, since the final version may differ.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"Is the material already finalized, or can it still change later?","If the homework title contains `[DRAFT]`, it is not finalized yet, and the content can still change. It’s only ready when the form is open **and** the title does **not** contain `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"If I start working on the homework now, could the final version be different?","Yes — if the homework is still in `[DRAFT]` status or the homework form isn’t open yet, the final version can still change. Working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How will I know when a module is actually ready and settled?,"The module is ready only when both are true:

- the homework form is open on the course management platform, and
- the homework title does **not** contain `[DRAFT]`.

Until then, it can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"Is it safe to do the course work in advance, or should I wait until updates are announced?","You can start whenever you want, but **working on the material or homework in advance is at your own risk** because the final version can still change until the homework is officially ready.

The homework is ready only when:
- the homework form is open on the course platform, and
- the homework title does **not** contain `[DRAFT]`.

So if you want to avoid mismatches with updates, it’s safer to wait until it’s announced as ready.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next time this course will be offered?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know when the next course session starts?,The next course session starts in **Summer 2027**.,Summer 2027.,bd31146b0e
"Will there be another run of this course, and if so, when?",Yes — the course will be offered next in **Summer 2027**.,Summer 2027.,bd31146b0e
What's the next scheduled offering for this course?,Summer 2027.,Summer 2027.,bd31146b0e
Can you tell me when the course is coming back?,I don't know.,Summer 2027.,bd31146b0e
Where can I find the course lectures or videos for this class?,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders there — each lesson page has the relevant videos linked at the top. If you're unsure, follow the GitHub repo first, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Are the recordings or lecture videos posted somewhere I can watch them?,"Yes. Use the **LLM Zoomcamp GitHub repository** as the main entry point: https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there — each lesson page has the relevant videos linked at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
I’m looking for the videos—should I check the bookmarks or pinned links?,"Check the **GitHub repo / lesson pages first** — that’s the main entry point, and each lesson page has the relevant videos linked at the top. If you’re unsure, the repo is better to follow than bookmarks or pinned links because it stays more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a specific YouTube channel for the course lectures?,"Yes — the course lectures/videos are linked from the **LLM Zoomcamp GitHub repository**. Each lesson page has the relevant videos at the top, and the repo is the main entry point.

There isn’t a specific YouTube channel just for lectures mentioned in the context. If you need live sessions or office hours, those can also be watched on the **DataTalksClub YouTube channel**.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Where are the lecture videos linked, and what should I check first?","The lecture videos are linked at the top of each lesson page in the **LLM Zoomcamp GitHub repository**.  

What to check first: **the GitHub repo first**, since it’s the main entry point and is easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Why does WSL2 say the model needs more memory even though my PC has enough RAM?,"Your WSL2 is not using all of your PC’s RAM. It only has access to the amount configured for WSL2, which is why it says the model needs more memory than is available.

To fix it, increase WSL2’s memory limit by creating a `.wslconfig` file in:

`C:\Users\YourUsername\.wslconfig`

with:

```ini
[wsl2]
memory=8GB
```

Then restart WSL:

```bash
wsl --shutdown
```

You can verify the new limit in WSL with:

```bash
free
```

","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
How can I increase the RAM available to WSL2 on Windows for running a model?,"Your WSL2 may be limited to only part of your computer’s RAM. To give it more memory:

1. Create a file called `.wslconfig` in your Windows user profile folder, for example:
   `C:\Users\YourUsername\.wslconfig`

2. Add this content:
   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL:
   ```bash
   wsl --shutdown
   ```

4. Open WSL again and run `free` to verify the available RAM.

","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
Where should I put a .wslconfig file to give WSL2 more memory?,"Put the `.wslconfig` file in your Windows user profile directory:

`C:\Users\YourUsername\.wslconfig`

","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
What do I need to write in .wslconfig to set WSL2 memory to 8GB?,"Write this in `.wslconfig`:

```ini
[wsl2]
memory=8GB
```

Then restart WSL with:

```bash
wsl --shutdown
```","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"After changing WSL2 memory settings, how can I check if the new RAM limit is actually applied?",Run `free` inside WSL after restarting it with `wsl --shutdown`. That will let you verify whether the new RAM limit is applied.,"Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"Why aren't we using LangChain in this course, and what should we learn first instead?","We’re not using LangChain because the course wants you to first build the core pieces yourself: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before moving on to a framework like React or Angular.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Is there a reason the course skips LangChain for now?,"Yes — the course skips LangChain at the start on purpose.

The idea is to first build the core RAG pieces yourself: prompting, retrieval, indexing, and evaluation. LangChain is a framework that automates parts of this, but it’s easier to use frameworks well once you understand what they’re doing under the hood.

A good analogy is learning HTML, CSS, and JavaScript before moving to React or Angular.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Why start without a framework like LangChain when building LLM apps?,"Because the course wants you to learn the core LLM app building blocks first: prompting, retrieval, indexing, and evaluation.

LangChain is a framework for building LLM-powered apps, but it automates many of those pieces. Starting without it is like learning HTML, CSS, and JavaScript before using React or Angular. Once you understand the fundamentals, frameworks are much easier to use well.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
"Should I learn the basics before using LangChain, and why?","Yes — it’s better to learn the basics first, because LangChain is a framework that automates parts of building LLM apps. The course recommends first understanding the core pieces yourself: prompting, retrieval, indexing, and evaluation.

A good analogy is learning HTML, CSS, and JavaScript before React or Angular. Once you know the fundamentals, you can use the framework much more effectively.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
What’s the idea behind not using LangChain in the course material?,"The idea is to first learn the core building blocks yourself: prompting, retrieval, indexing, and evaluation. LangChain is a framework for LLM apps, but the course wants you to understand what it automates before using it.

It’s like learning HTML, CSS, and JavaScript before moving on to React or Angular.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run `chat.completions.create`?,"Because your OpenAI account doesn’t have enough API quota/credits. The context says this can happen with OpenAI API calls like `responses.create`, and the same quota issue can also affect `chat.completions.create`.

Typical fix:
1. Add credits / enable pay-as-you-go in your OpenAI billing settings.
2. Make sure you’re using a model available to your account.
3. If needed, recreate your API key after adding credits.

If you’re using a non-OpenAI provider through an OpenAI-compatible endpoint, this may also be a quota/endpoint mismatch issue.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
"What does the OpenAI ""Insufficient credits"" message mean in `chat.completions.create`?","It means your OpenAI account doesn’t have enough API credits left to complete the request.

","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
I’m seeing an OpenAI API error about credits when testing chat completions — what should I check?,"Check your OpenAI API account quota/billing. This error usually means you have **insufficient credits** or **hit your current quota**.

What to do:
1. Add credits / enable pay-as-you-go in your OpenAI billing settings.
2. Make sure you’re using a model available to your account in `responses.create(...)`.
3. If needed, regenerate your API key after adding credits and update it locally.

If you’re still seeing the issue after that, I don’t know.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
Is the `OpenAI API Error: Insufficient credits` issue caused by my `chat.completions.create` call?,"No. Based on the context, `OpenAI API Error: Insufficient credits` is caused by insufficient quota/credits in your OpenAI account, not by the `chat.completions.create` call itself.

You need to add billing credits and possibly recreate your API key.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
What’s the reason for the credit-related error when using OpenAI chat completions?,"The error is due to **insufficient quota/credits in your OpenAI API account**. The context says there is **no free usage** of the OpenAI API, so you need to **add billing credits** (at least $5), and possibly **recreate your API key** after adding funds.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
